date,equity
2025-03-26,111964.77385019042
2025-03-27,112004.23483238627
2025-03-28,112004.23483238627
2025-03-29,112003.9594955987
2025-03-30,112057.44780988441
2025-03-31,112167.66312899093
2025-04-01,112041.11292657841
2025-04-02,112112.19240217013
2025-04-03,112135.36820217012
2025-04-04,112246.02502549876
2025-04-05,112234.36332252377
2025-04-06,112234.36332252377
2025-04-07,112312.39307214784
2025-04-08,112356.54030421784
2025-04-09,112639.83065915554
2025-04-10,112744.39439426849
2025-04-11,112744.39439426849
2025-04-12,112884.96298422394
2025-04-13,112884.96298422394
2025-04-14,113012.69579080399
2025-04-15,113077.81290434793
2025-04-16,113077.81290434793
2025-04-17,113137.13176239879
2025-04-18,113169.74551384387
2025-04-19,113274.85854295296
2025-04-20,113315.11361754974
2025-04-21,113315.11361754974
2025-04-22,113539.7717900807
2025-04-23,113583.51820294652
2025-04-24,113762.04472330958
2025-04-25,114009.11625081941
2025-04-26,114098.30381296139
2025-04-27,114170.39909137148
2025-04-28,114514.86412973206
2025-04-29,114541.60337842315
2025-04-30,114717.1893413182
2025-05-01,114717.1893413182
2025-05-02,114717.1893413182
2025-05-03,114717.1893413182
2025-05-04,114717.1893413182
2025-05-05,114746.71083553528
2025-05-06,114746.71083553528
2025-05-07,114778.92051362767
2025-05-08,115100.15050665902
2025-05-09,115738.64525621732
2025-05-10,115832.79346162644
2025-05-11,115854.77206173321
2025-05-12,115999.06104409698
2025-05-13,116395.37320304253
2025-05-14,116481.24750478641
2025-05-15,116481.24750478641
2025-05-16,116481.24750478641
2025-05-17,116476.3117681508
2025-05-18,116567.39978683597
2025-05-19,116596.45531171357
2025-05-20,116614.8236790605
2025-05-21,116614.8236790605
2025-05-22,116956.83791321376
2025-05-23,117014.1862648054
2025-05-24,117014.1862648054
2025-05-25,117141.416869212
2025-05-26,117772.40136031479
2025-05-27,117836.77519172631
2025-05-28,117833.45082519244
2025-05-29,117973.05289840132
2025-05-30,118048.41831700597
2025-05-31,118177.54661192287
2025-06-01,118310.05823152827
2025-06-02,118341.40532699367
2025-06-03,118591.30147627882
2025-06-04,118591.30147627882
2025-06-05,118591.30147627882
2025-06-06,118591.30147627882
2025-06-07,118636.46873296444
2025-06-08,118686.53448221649
2025-06-09,118751.89980320344
2025-06-10,119069.56755874568
2025-06-11,119122.41078622172
2025-06-12,119122.41078622172
2025-06-13,119145.07321997566
2025-06-14,119145.07321997566
2025-06-15,119145.07321997566
2025-06-16,119136.13623132397
2025-06-17,119260.47465705442
2025-06-18,119263.7950555784
2025-06-19,119272.53467406283
2025-06-20,119272.53467406283
2025-06-21,119272.53467406283
2025-06-22,119272.53467406283
2025-06-23,119589.4477184994
2025-06-24,120227.3003818381
2025-06-25,120227.3003818381
2025-06-26,120311.28181395166
2025-06-27,120311.28181395166
2025-06-28,120382.89937195802
2025-06-29,120533.13781263598
2025-06-30,121403.59583432291
2025-07-01,121331.16245321542
2025-07-02,121721.26850668757
2025-07-03,121750.08191293958
2025-07-04,121750.08191293958
2025-07-05,121750.08191293958
2025-07-06,121808.43835558422
2025-07-07,121828.04110883098
2025-07-08,121894.83382266908
2025-07-09,122274.52794788314
2025-07-10,122475.53571688701
2025-07-11,122962.47505879634
2025-07-12,123002.41947429837
2025-07-13,123002.41947429837
2025-07-14,123197.45468699205
2025-07-15,123195.98433098239
2025-07-16,123261.98450694606
2025-07-17,123324.75056526382
2025-07-18,123864.48590253221
2025-07-19,124095.06373277145
2025-07-20,124253.09115207472
2025-07-21,124415.24467249433
2025-07-22,124415.24467249433
2025-07-23,124501.00938790858
2025-07-24,124501.00938790858
2025-07-25,124606.39214772887
2025-07-26,124739.16989480214
2025-07-27,124739.16989480214
2025-07-28,124739.16989480214
