entry_time,exit_time,entry_price,exit_price,pnl
2023-02-17 10:40:00+00:00,2023-02-17 11:15:00+00:00,0.4366,0.43314,-128.20823408153774
2023-02-17 12:55:00+00:00,2023-02-17 13:25:00+00:00,0.43533,0.42952,-178.6394245875308
2023-02-17 14:15:00+00:00,2023-02-17 16:25:00+00:00,0.43052,0.42568,-154.51281298682807
2023-02-17 17:25:00+00:00,2023-02-17 18:05:00+00:00,0.43215,0.43204,-49.08970660861996
2023-02-17 19:05:00+00:00,2023-02-17 19:15:00+00:00,0.43479,0.43243,-96.1970719002129
2023-02-17 20:25:00+00:00,2023-02-17 21:25:00+00:00,0.43697,0.43784,-27.4939973987166
2023-02-17 21:30:00+00:00,2023-02-17 21:55:00+00:00,0.43733,0.43313,-131.49896281857946
2023-02-17 22:45:00+00:00,2023-02-18 01:45:00+00:00,0.43375,0.44852,255.8382377245307
2023-02-18 04:25:00+00:00,2023-02-18 06:05:00+00:00,0.44114,0.44446,22.565227196402702
2023-02-18 08:15:00+00:00,2023-02-18 08:20:00+00:00,0.4289,0.42945,-33.68617809012176
2023-02-18 09:40:00+00:00,2023-02-18 10:45:00+00:00,0.42905,0.42864,-53.35984280892626
2023-02-18 12:20:00+00:00,2023-02-18 13:20:00+00:00,0.4309,0.43022,-58.27030337942415
2023-02-18 14:50:00+00:00,2023-02-18 15:20:00+00:00,0.4294,0.42714,-89.74181145102011
2023-02-18 17:05:00+00:00,2023-02-18 17:45:00+00:00,0.42999,0.4296,-50.958478645476134
2023-02-18 19:05:00+00:00,2023-02-18 19:45:00+00:00,0.43359,0.4282,-148.32305443723453
2023-02-18 21:00:00+00:00,2023-02-18 21:15:00+00:00,0.41679,0.41781,-21.415566376315837
2023-02-18 22:10:00+00:00,2023-02-18 23:45:00+00:00,0.42247,0.42062,-77.53512020855487
2023-02-19 00:45:00+00:00,2023-02-19 02:45:00+00:00,0.42491,0.42458,-47.1497761902483
2023-02-19 03:00:00+00:00,2023-02-19 05:20:00+00:00,0.42689,0.43044,26.45663106802749
2023-02-19 05:25:00+00:00,2023-02-19 06:05:00+00:00,0.43092,0.42822,-90.61408133722125
2023-02-19 06:35:00+00:00,2023-02-19 06:40:00+00:00,0.4255,0.42592,-31.883037611750296
2023-02-19 07:50:00+00:00,2023-02-19 07:55:00+00:00,0.41676,0.41685,-37.62989001733513
2023-02-19 08:30:00+00:00,2023-02-19 09:10:00+00:00,0.41339,0.41484,-11.758261463540293
2023-02-19 09:35:00+00:00,2023-02-19 11:40:00+00:00,0.41786,0.42107,20.452200089680446
2023-02-19 12:30:00+00:00,2023-02-19 12:50:00+00:00,0.4218,0.4182,-104.13526055835064
2023-02-19 14:25:00+00:00,2023-02-19 15:20:00+00:00,0.42062,0.42539,47.60525242529911
2023-02-19 15:25:00+00:00,2023-02-19 15:30:00+00:00,0.42169,0.42064,-56.72064317917375
2023-02-19 18:30:00+00:00,2023-02-19 20:00:00+00:00,0.40504,0.40175,-97.99905197131739
2023-02-19 21:10:00+00:00,2023-02-19 23:15:00+00:00,0.4028,0.40402,-14.611853197538949
2023-02-19 23:40:00+00:00,2023-02-19 23:50:00+00:00,0.40339,0.40116,-76.70441707452483
2023-02-20 00:10:00+00:00,2023-02-20 00:55:00+00:00,0.40607,0.40062,-132.00328975807952
2023-02-20 02:00:00+00:00,2023-02-20 05:55:00+00:00,0.39835,0.40427,68.75052538278578
2023-02-20 07:05:00+00:00,2023-02-20 08:10:00+00:00,0.40445,0.4083,31.55971861148737
2023-02-20 08:15:00+00:00,2023-02-20 08:45:00+00:00,0.40914,0.39078,-350.23659339919686
2023-02-20 09:30:00+00:00,2023-02-20 09:50:00+00:00,0.39729,0.3995,3.567779456808239
2023-02-20 09:55:00+00:00,2023-02-20 10:30:00+00:00,0.39878,0.39594,-80.25805835715164
2023-02-20 11:05:00+00:00,2023-02-20 11:30:00+00:00,0.39644,0.39238,-99.15172044465817
2023-02-20 16:00:00+00:00,2023-02-20 16:10:00+00:00,0.38866,0.38288,-126.6265145063453
2023-02-20 18:20:00+00:00,2023-02-20 19:45:00+00:00,0.38199,0.38619,37.05534046549383
2023-02-20 21:35:00+00:00,2023-02-20 23:35:00+00:00,0.38315,0.38606,15.965341243658258
2023-02-20 23:45:00+00:00,2023-02-21 01:00:00+00:00,0.38716,0.38643,-42.82803082016926
2023-02-21 02:05:00+00:00,2023-02-21 03:00:00+00:00,0.386,0.38793,-0.15386951656728343
2023-02-21 03:10:00+00:00,2023-02-21 04:15:00+00:00,0.39594,0.39807,2.159913531118036
2023-02-21 04:45:00+00:00,2023-02-21 06:05:00+00:00,0.40494,0.43605,435.46678755070207
2023-02-21 06:15:00+00:00,2023-02-21 06:50:00+00:00,0.44253,0.42945,-223.59988173703277
2023-02-21 07:15:00+00:00,2023-02-21 07:20:00+00:00,0.42165,0.42213,-24.14446075167234
