entry_time,exit_time,entry_price,exit_price,pnl
2024-01-31 17:15:00+00:00,2024-01-31 18:25:00+00:00,0.7102,0.6761,-525.1069769079131
2024-01-31 18:40:00+00:00,2024-01-31 19:10:00+00:00,0.6815,0.6694,-212.55816715343462
2024-01-31 22:00:00+00:00,2024-01-31 23:55:00+00:00,0.6426,0.6585,178.9178930163289
2024-02-01 00:50:00+00:00,2024-02-01 01:20:00+00:00,0.6636,0.6526,-198.8525863618379
2024-02-01 01:45:00+00:00,2024-02-01 01:50:00+00:00,0.6496,0.6546,23.947485228689402
2024-02-01 02:50:00+00:00,2024-02-01 03:20:00+00:00,0.6575,0.6356,-342.757431580445
2024-02-01 05:00:00+00:00,2024-02-01 05:05:00+00:00,0.5861,0.581,-117.4663966399512
2024-02-01 05:25:00+00:00,2024-02-01 05:55:00+00:00,0.5906,0.5815,-171.6065091840792
2024-02-01 06:20:00+00:00,2024-02-01 07:00:00+00:00,0.5994,0.5869,-211.86190290667037
2024-02-01 07:30:00+00:00,2024-02-01 08:00:00+00:00,0.5993,0.5777,-325.9030920636087
2024-02-01 09:35:00+00:00,2024-02-01 09:45:00+00:00,0.561,0.5642,5.142226175031283
2024-02-01 10:15:00+00:00,2024-02-01 12:50:00+00:00,0.5686,0.6071,472.6919365809799
2024-02-01 13:35:00+00:00,2024-02-01 13:55:00+00:00,0.6031,0.5921,-185.4395614426876
2024-02-01 14:20:00+00:00,2024-02-01 14:35:00+00:00,0.6032,0.597,-118.56608200393293
2024-02-01 14:45:00+00:00,2024-02-01 14:55:00+00:00,0.6191,0.6163,-72.48182140342487
2024-02-01 15:05:00+00:00,2024-02-01 15:45:00+00:00,0.6166,0.5958,-289.9808994487721
2024-02-01 17:00:00+00:00,2024-02-01 17:55:00+00:00,0.5943,0.585,-147.96725040466663
2024-02-01 18:50:00+00:00,2024-02-01 18:55:00+00:00,0.5786,0.5737,-94.1190433316142
2024-02-01 19:55:00+00:00,2024-02-01 20:15:00+00:00,0.5803,0.5759,-86.3217677011271
2024-02-01 20:30:00+00:00,2024-02-01 22:30:00+00:00,0.5816,0.5845,-0.26155928119078453
2024-02-01 22:55:00+00:00,2024-02-01 23:15:00+00:00,0.5929,0.5896,-70.88883915333372
2024-02-01 23:55:00+00:00,2024-02-02 00:10:00+00:00,0.6037,0.595,-128.07848842981275
2024-02-02 00:15:00+00:00,2024-02-02 00:45:00+00:00,0.608,0.6009,-107.397378433614
2024-02-02 01:30:00+00:00,2024-02-02 01:40:00+00:00,0.603,0.6003,-59.785936177032454
2024-02-02 05:05:00+00:00,2024-02-02 06:45:00+00:00,0.5866,0.586,-37.502226899820926
2024-02-02 07:25:00+00:00,2024-02-02 10:10:00+00:00,0.601,0.6224,187.55034625184362
2024-02-02 10:35:00+00:00,2024-02-02 11:15:00+00:00,0.6305,0.6204,-132.31894825353174
2024-02-02 12:50:00+00:00,2024-02-02 13:50:00+00:00,0.6193,0.6049,-173.2046340077768
2024-02-02 14:15:00+00:00,2024-02-02 15:15:00+00:00,0.6198,0.6269,38.086872381173634
2024-02-02 15:30:00+00:00,2024-02-02 16:00:00+00:00,0.625,0.6332,48.012573134183185
2024-02-02 16:05:00+00:00,2024-02-02 16:40:00+00:00,0.6378,0.631,-93.32233306057788
