train_loss,val_loss,val_f1,val_auc,val_auprc
0.3647102544426884,0.35826873418056604,0.27730337078612893,0.6506539863536116,0.19994595733745782
0.36001128179526254,0.3570425831007235,0.27793331636513113,0.6539168175212045,0.2005100538020422
0.35901950938392874,0.35597429447101825,0.2805387006064105,0.6568232391915789,0.20233039275001358
0.3580111231853326,0.36174482016852405,0.2780897180458751,0.6552325851398588,0.19972128938443426
0.35769868509970604,0.3555234982208772,0.28042050744482366,0.6585620832583987,0.2036116826281299
0.3572895736163685,0.35511227223006164,0.28040120999802204,0.6591239823970474,0.20400558919426226
0.3571401183347584,0.3550070190068447,0.28186987569386557,0.6605216930553449,0.20452477011336836
0.3566335575842986,0.35467160470557935,0.2823102823098923,0.6604202824884469,0.20493008436427484
0.3565603490631825,0.35525003752925177,0.2819332566164141,0.6603846053626184,0.20415819256236215
0.35644671841211667,0.3545244719946023,0.2815918820354484,0.6611025212378228,0.20416169700310147
0.35624119122399256,0.3546858312505664,0.2816689713216991,0.6608745899357752,0.20451414837730258
0.35631349910827703,0.3544748014572895,0.28296521624084264,0.6614910016851849,0.20434796770972571
0.3559093280135523,0.35438828802470007,0.2821844113595585,0.6616020072366808,0.2048988367890839
0.3559844723411925,0.35454137668465124,0.28269334451529465,0.6613826490481738,0.20472337624002265
0.35564663261052554,0.3544551901745074,0.2833685781809859,0.6619459952310869,0.20533462491814297
0.3557734422412553,0.35422567932894733,0.2826769450743769,0.6621310994285342,0.20527098721695586
0.3558101580724996,0.35426792547558295,0.2819961656883607,0.6620249360696987,0.20525630799236694
0.35576087244087307,0.35414098158027185,0.2826757283993402,0.6622211280359133,0.20538562078051958
0.35529849712460876,0.35412931938966113,0.283041333559727,0.6625728367183589,0.20487169869638694
0.355538700886405,0.3542240718097398,0.2825541619152632,0.6624158480088242,0.20523950577365865
0.3552876037084645,0.35414320275639044,0.28280039442139426,0.6625496060443821,0.20532228085533516
0.35548886496980886,0.35457340921416425,0.28272513703955554,0.6623699895959804,0.2053970449448636
0.3554052118805161,0.35418382332180487,0.28271564447322844,0.6623132700348076,0.20504619761109805
0.3550015631537181,0.35391075186657184,0.2831692999616695,0.6628490246596281,0.20612806126142963
0.3552212613709546,0.3539725027301095,0.2839622972069208,0.6631705252535119,0.20590704839167343
0.35517968912060127,0.3539889825112892,0.28367346938736887,0.6630723154404141,0.20559913168616456
0.35508384924338265,0.3539415837237329,0.28389204813182395,0.6632573874120192,0.20562438076614398
0.35505567511093944,0.3540120860843947,0.28350813193457025,0.663223053376126,0.20555104765160268
0.3548347875943618,0.35404097085649316,0.2832873094005174,0.6629164296863135,0.20467172518659174
0.3550243465641979,0.3537907221100547,0.2833704507650154,0.6635896275276669,0.20540428586869391
0.35507827199212705,0.3538818074898286,0.2831468411082193,0.6633423378504102,0.20547652600996458
0.35494554789497734,0.3538293558539766,0.283418756060045,0.6636895941689307,0.20583347138051672
0.35505235568753324,0.35378971605589893,0.28406972561036065,0.6637146149364588,0.2061343019903256
0.3552069312579943,0.3536740437601552,0.2840338545398783,0.6640613088620573,0.20629906233384018
0.354935565366747,0.35360748704635736,0.28357593258257885,0.663857105135681,0.20710407268430986
0.35487449219476647,0.355101717692433,0.2807732052759008,0.6603691494329326,0.2048503989554218
0.3550959678742872,0.35372687153743976,0.2839609483956865,0.6639588670682122,0.2066633128926472
0.35486418303265477,0.35363097398570087,0.28452672022313297,0.6641638639661215,0.2068397478794638
0.3549565083663841,0.35379641299897974,0.2840160454422024,0.6636103435464171,0.20628604288456384
0.3547821167076816,0.3538784497615063,0.2840982357419712,0.6635211289014369,0.2057204431488028
0.3551391412690373,0.3538134549603318,0.2843728623838002,0.664011043825193,0.20628318579256252
0.3544919614941141,0.3538396940989928,0.28399401385126094,0.6637126585159805,0.2054303458618706
0.3548280661312445,0.3539163673465902,0.28416912487672763,0.6639533470933243,0.2063418357956934
0.35492870464066595,0.35389590669762006,0.2837608943361073,0.663398461753276,0.2060718963037718
0.3546740095768462,0.3536354253689448,0.28376234417963264,0.6641775194068231,0.2064085683332091
0.35490227567927074,0.3538074583718271,0.2837783288157395,0.6638525290661035,0.20650451798383568
0.35463920334530596,0.3540133409427874,0.2831298055174574,0.6637200257593006,0.2064910444002165
0.35505993905904126,0.35374452941345447,0.28377884774989426,0.6640845364174044,0.20677881908084714
0.3548187749991501,0.3536553631226222,0.28397542296344064,0.6639230454458659,0.20662448602641656
0.3548688257202197,0.3536676263267344,0.28374543980506955,0.6641212364538335,0.20636233699074016
