open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-04-07T13:00:00+00:00,0.04088000,0.08999000,0.04088000,0.04610000,704990.90000000,2020-04-07T13:04:59.999000+00:00,33372.18240400,258,177450.40000000,8718.74507600,0
2020-04-07T13:05:00+00:00,0.04648000,0.04875000,0.04625000,0.04700000,592968.70000000,2020-04-07T13:09:59.999000+00:00,28021.62524100,206,185766.20000000,8836.34027300,0
2020-04-07T13:10:00+00:00,0.04753000,0.04753000,0.04662000,0.04663000,373601.10000000,2020-04-07T13:14:59.999000+00:00,17530.72582900,82,23803.40000000,1121.01948400,0
2020-04-07T13:15:00+00:00,0.04661000,0.04672000,0.04542000,0.04671000,222998.80000000,2020-04-07T13:19:59.999000+00:00,10305.66496500,49,22688.30000000,1055.14015800,0
2020-04-07T13:20:00+00:00,0.04670000,0.04738000,0.04550000,0.04616000,319565.20000000,2020-04-07T13:24:59.999000+00:00,14767.46489700,70,71882.80000000,3344.98281800,0
# TRUNCATED — original file had 578,024 data rows (94.6 MB). Fetch full data with the project scripts.
