open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-02-17T08:00:00+00:00,0.40390000,0.45200000,0.40390000,0.44001000,1932801.00000000,2023-02-17T08:04:59.999000+00:00,842568.23756000,3343,1395559.00000000,608869.18745000,0
2023-02-17T08:05:00+00:00,0.44091000,0.44132000,0.43470000,0.43600000,809129.00000000,2023-02-17T08:09:59.999000+00:00,354739.46579000,1903,514508.00000000,225602.06744000,0
2023-02-17T08:10:00+00:00,0.43600000,0.43982000,0.43401000,0.43829000,514838.00000000,2023-02-17T08:14:59.999000+00:00,225030.52343000,1284,287622.00000000,125779.56870000,0
2023-02-17T08:15:00+00:00,0.43879000,0.44000000,0.43636000,0.43891000,300622.00000000,2023-02-17T08:19:59.999000+00:00,131762.67769000,797,186979.00000000,81954.79333000,0
2023-02-17T08:20:00+00:00,0.43905000,0.43944000,0.43614000,0.43688000,226281.00000000,2023-02-17T08:24:59.999000+00:00,99036.78656000,577,102484.00000000,44852.45566000,0
# TRUNCATED — original file had 143,924 data rows (24.3 MB). Fetch full data with the project scripts.
