train_loss,val_loss,epoch_best_f1,epoch_best_thresh,val_auc,val_auprc
0.37020552329269507,0.36820045452774064,0.23868489618273936,0.11630555242300034,0.5859580456202472,0.1684685420346822
0.3679961314313113,0.36728747217401597,0.24283526580582115,0.11507273465394974,0.5922659163358552,0.17154247421927535
0.3674367299469654,0.36686282166050765,0.24257992461223915,0.11683759838342667,0.5937562857629306,0.17217957862515065
0.3671199179450735,0.36671192962828036,0.24231429271848215,0.11153607070446014,0.5935765122425484,0.17202396030554507
0.3669294907604797,0.36663886858517214,0.2424674630055527,0.11540791392326355,0.5934149555120708,0.17191604322686185
0.3669077778978352,0.36647717472558705,0.2422503829546675,0.11647598445415497,0.5934548576716352,0.1719907506469988
0.36674527158379966,0.36646467118985326,0.24205350753645327,0.11219166219234467,0.5936760642178709,0.17213479797298506
0.3666625923974691,0.3666290985222791,0.24091618948430737,0.11333838105201721,0.5906975225460487,0.17116975982402852
0.3665983448109565,0.36642236667494127,0.24224919179572724,0.11807171255350113,0.5936846785841089,0.17196034339733696
0.36650017865725854,0.36643432392891556,0.24151354718122808,0.11263945698738098,0.5920202543303827,0.17135789079371772
