train_loss,val_loss,epoch_best_f1,epoch_best_thresh,val_auc,val_auprc
0.7904693017981511,0.6604636166981227,0.2361296791440323,0.46245020627975464,0.5785214895038804,0.16658810117351378
0.6931041051759407,0.66735818118327,0.23964490018720555,0.461995929479599,0.5867076605051447,0.17005945624998503
0.6889734511922921,0.6611279306947067,0.2396049768996279,0.457976758480072,0.5871511426093301,0.17008888224536564
0.6865497125674025,0.6773747794608006,0.24114132422843237,0.4715624749660492,0.5885064605691791,0.17042476035852866
0.6857242640378055,0.6790598211066411,0.24131636457094863,0.4754215478897095,0.5901417028788677,0.1711325039895914
0.6859076551352994,0.6649271877617996,0.24145259898683105,0.4670994281768799,0.5912131982286853,0.17122184062114737
0.6851699076343101,0.667147268920355,0.2411173843046196,0.4600870907306671,0.5902242897420787,0.17052228170615683
0.6847416800549206,0.6746565193024725,0.24146811126804882,0.4657098650932312,0.590094229417893,0.170902916573025
0.683934142813003,0.6706668145944028,0.24225712738162633,0.4678233563899994,0.5911907718159541,0.17065044897367743
0.684116870209571,0.678352669620293,0.2421531463226431,0.47472602128982544,0.5913812095065888,0.17019252638015642
0.6833834053119467,0.6769958098370075,0.2420097002857091,0.47103384137153625,0.5919515884905873,0.17126403742987314
0.6831977504179679,0.6855992031557178,0.2419787475494444,0.47921982407569885,0.5923248541690546,0.17136892853941169
0.6825155831304385,0.6752630475212689,0.24274875022171194,0.47086042165756226,0.5933836770596235,0.17170134549048058
0.6826825949477012,0.6766640144075564,0.24161482797986555,0.4732375144958496,0.5921540478925633,0.17166464238106854
0.6827283474107183,0.6721318559178288,0.24246308449515583,0.4709623456001282,0.5923692742004543,0.17072632633012097
0.6821091353201546,0.6732329448016647,0.24143305915893654,0.46505406498908997,0.5923613998394124,0.1712243425766088
0.6828890018434313,0.6847456060866175,0.24228982935832327,0.48107656836509705,0.5933584307392936,0.17207977782237643
0.6819705088865194,0.6840301217862831,0.24199231686282033,0.4810244143009186,0.5933136412242335,0.17197968007560238
0.6823453263675626,0.6773749606234583,0.24190339778751646,0.4781118929386139,0.5926339895234445,0.1717516252722405
0.6818435226237451,0.67900450310371,0.2422892116067753,0.47856199741363525,0.5934274203962295,0.1725381338823918
0.6815754242785391,0.6819061130701813,0.241619077202141,0.47092047333717346,0.5928367893485682,0.17198614115325014
