name,best_epoch,best_val_loss,best_val_f1,best_thresh,val_auc,val_auprc,precision_at_best,recall_at_best,train_time_sec,history_csv
baseline,1,0.36728747217401597,0.24283526580582115,0.11507273465394974,0.5922659163358552,0.17154247421927535,0.1565640537395536,0.5408697770739432,42.24939703941345,model_output/nn_report/baseline/training_history.csv
sampler,12,0.6752630475212689,0.24274875022171194,0.47086042165756226,0.5933836770596235,0.17170134549048058,0.15331110968651837,0.582653185528079,86.39817881584167,model_output/nn_report/sampler/training_history.csv
focal,23,0.035159385471342126,0.24255655923333955,0.24288596212863922,0.5926215661543037,0.1719890964336243,0.1562917633818668,0.5413570471433792,150.82308912277222,model_output/nn_report/focal/training_history.csv
